id,,desc,,,id_id,desc2, p ,NA,a
1,,JABÓN EN POLVO ARCOIRIS, $22.63 ,,1,N/A, $37 ,NA,NA
2,,MAYOR COLOR , $9.59 ,,1,"MAYOR COLOR  ES UN DETERGENTE LÍQUIDO ESPECÍFICAMENTE DISEÑADO PARA CUIDAR Y MANTENER LOS TONOS VIVOS EN TU ROPA DE COLOR. CREADA ESPECIALMENTE PARA ACTUAR CUIDADOSAMENTE SOBRE LAS FIBRAS DE TU ROPA, REVIVIENDO LOS TONOS Y MANTENIENDO SU FORMA.

CON SU FÓRMULA ÚNICA Y ESPECIALIZADA, ADEMÁS DE LIMPIAR CADA UNA DE TU PRENDAS COMO NINGÚN OTRO DETERGENTE,  TAMBIÉN LA DEJARÁ LUCIENDO COMO NUEVA. OLVÍDATE DE ROPA DECOLORADA, ENCOGIDA O SIN FORMA.", $16 ,NA,NA
3,, MAYORIEL, $11.36 ,,1,"SE UTILIZA PARA LAVAR PRENDAS QUE ESTÁN MÁS SUCIAS O PERCUDIDAS QUE EL RESTO A LAVAR. PUEDE USARSE PARA CUALQUIER TIPO DE PRENDA PERO HACE MÁS ÉNFASIS HACIA LA DE COLOR, ROPA DE TRABAJO O MEZCLILLA. ", $18 ,NA,NA
4,,MAYOR ROSITA , $9.34 ,,1,"ES UN DETERGENTE CON SUAVIZANTE INTEGRADO EN SU FÓRMULA PARA LAVAR ROPA MÁS DELICADA O QUE NO NECESITAN UN CICLO DE LAVADO TAN LARGO O MUY BRUSCO. TIENE MUY BUENA DETERGENCIA COMO PARA PODER LAVAR A LA PERFECCIÓN DICHAS PRENDAS, ADEMÁS SU ANTI ESTÁTICO Y AROMA QUE LO CARACTERIZA PERMITE OMITIR EL USO DE AUVIZANTES, IMPACTANDO ASÍ EN LA ECONOMÍA DEL HOGAR. ", $16 ,NA,NA
5,,MAYORZOTE BLANCO , $12.16 ,,1,ES UN DETERGENTE UTILIZADO PARA LAVAR PRENDAS QUE ESTÁN MÁS SUCIAS O PERCUDIDAS QUE EL RESTO A LAVAR. PUEDE USARSE PARA CUALQUIER TIPO DE PRENDA PERO HACE MAS ÉNFASIS HACIA LA ROPA BLANCA O ROPA DE TRABAJO QUE ESTÉ MÁS PERCUDIDA Y CON MANCHAS DIFÍCILES DE QUITAR. , $18 ,NA,NA
6,,MAYOR NEGRO , $9.69 ,,1,"ES UN DETERGENTE LÍQUIDO DISEÑADO PARA EL LAVADO EXCLUSIVAMENTE DE LA ROPA NEGRA, SUS PIGMENTOS Y SUS SURFACTANTES PERMITEN FIJAR Y CONSERVAR EL COLOR DE LA PRENDA. MAYOR NEGRO ES UN DETERGENTE FORMULADO CON QUÍMICOS BIODEGRADABLES Y PERMITE UN ENJUAGUE MÁS RÁPIDO EVITANDO ASÍ EL DESPERDICIO DE AGUA Y EL CUIDADO DEL MEDIO AMBIENTE. ", $16 ,NA,NA
7,,VANISH, $7.20 ,,1,"Es un producto especialmente formulado para remover manchas y blanquear los blancos, funciona hasta con agua fría (30°C). Utiliza Vanish diariamente, así el blanco de tu ropa permanecerá así por mucho más tiempo.", $16 ,NA,NA
8,,MAYOR DOWN, $8.12 ,,2,"EL SUAVIAZANTE DE TELAS ES UN AGENTE QUÍMICO UTILIZADO DURANTE EL LAVADO DE ROPA, EL CUAL TIENE COMO OBJETIVO SUAVIZAR Y CONTRARRESTAR LA ESTÁTICA EN LA MISMA, ADEMÁS DE DEJAR UN AROMA AGRADABLE. SU CONSISTENCIA CONCENTRADA PERMITE RENDIR UN POCO MÁS SU CONSUMO. ", $12 ,NA,NA
9,,SUAVIZANTE DE TELAS BEBÉ, $8.66 ,,2,"EL SUAVIAZANTE DE TELAS ES UN AGENTE QUÍMICO UTILIZADO DURANTE EL LAVADO DE ROPA, EL CUAL TIENE COMO OBJETIVO SUAVIZAR Y CONTRARRESTAR LA ESTÁTICA EN LA MISMA, ADEMÁS DE DEJAR UN AROMA AGRADABLE. SU CONSISTENCIA CONCENTRADA PERMITE RENDIR UN POCO MÁS SU CONSUMO. ", $12 ,NA,NA
10,,FLOR DE LUNA , $8.66 ,,2,"EL SUAVIAZANTE DE TELAS ES UN AGENTE QUÍMICO UTILIZADO DURANTE EL LAVADO DE ROPA, EL CUAL TIENE COMO OBJETIVO SUAVIZAR Y CONTRARRESTAR LA ESTÁTICA EN LA MISMA, ADEMÁS DE DEJAR UN AROMA AGRADABLE. SU CONSISTENCIA CONCENTRADA PERMITE RENDIR UN POCO MÁS SU CONSUMO. ", $12 ,NA,NA
